user_id,created_at,screen_name,name,text,lang,description,followers_count,gender,state,depressed,keyword
x194450252,2021-04-15T21:49:57Z,usefulltresh,✨frncn✨,Took me a awhile to realise that im lonely and hurt...,en,✨ ごきげんよう ✨ -이성한 입니다 - canned/tomato,291,female,Iowa,1,1
x724684444792033280,2021-04-16T03:19:18Z,goldgoddessxx,gabrielle,"It doesn’t matter who you are, if you slide in my DMs on any social media platform I will have anxiety about it and completely avoid reading your message until I feel ready to think of a response",en,NA,1178,female,North Carolina,1,1
x281789653,2021-04-17T03:48:37Z,Jormmmm_,Josh,"I envy the people that grew up in an environment where BOTH parents weren’t toxic. Fortunately, I have one that isn’t toxic, but two would have been so much better.",en,I swear a lot. | My words are my own and don’t reflect anyone else’s values. | Writer | Gamer | Twitch Affiliate | https://t.co/IGuemANaDt,199,female,California,1,0
x1372657939799011333,2021-04-16T02:47:55Z,A7md_3adel2,Ahmed Adel,"Everything ends.. Hard times will end. Depression will end. Bad days will end. The feelings of all the breakdowns will end.. It’s just a matter of time, and everything will be okay again.. Trust Allah.",en,يُؤْتِكُمْ خَيْرًا مِّمَّا أُخِذَ مِنكُم,34,male,Wisconsin,1,1
x1162254104824954880,2021-04-17T03:48:24Z,nomoremarnie,しそみ,@harari_pokeca 気付かなかったｗ,ja,ポケモンカード　メモ：PC3GIOVANNI -24,96,female,West Virginia,0,0
x932061367770771456,2021-04-17T03:48:23Z,Jliabebels,Bebel Reality,@vaquinhamimo Uffa q mais gente percebeu q ele é insuportável,pt,O universo conspira a favor de quem não conspira contra ninguem,229,female,New York,0,0
x40162575,2021-04-16T01:30:09Z,LivingSafely,Living Safely™,"Food Safety: Missed It? Lonely Lane Farms Chorizo #Sausage recall: https://t.co/hSifsakb64 • You can now search or browse over 14,320 more #recalls and #warnings at https://t.co/EuRm6K6sdJ or sign-up for our #free Auto-Alert service.",en,"Official site. Living Safely keeps you up-to-date with informative health, medical, nutrition, product recall, safety and travel news and tips.",6976,female,Pennsylvania,0,1
x942618907,2021-04-17T03:48:18Z,yc_nakayama,横浜市緑区無料託児所付き・なかやま整体院,"患者さんからマスクの差し入れを頂きました🤗
皆様との繋がりに感謝です🥳
＃整体院　＃JR横浜線中山駅　＃お子様連れ　＃託児所　＃マタニティ整体　＃産後の骨盤矯正 https://t.co/5pQq5kby6G",ja,なかやま整体院は、横浜市緑区のカイロプラクティック整体院で、無料託児所完備で子連れOK。マタニティ（妊婦）から産後の骨盤矯正をお考えのママさん！もうガマンしなくて良いんです！！なかやま整体院がママさんもお子様も責任を持ってフォロー致します。遠慮なさらず、先ずはご相談くださいネ！！,119,female,Washington,0,0
x1374388107445870597,2021-04-16T03:03:37Z,NateTheCavsFan,Nate 😔,If you ever want to feel sad and depressed watch the Blue Jackets play hockey,en,"Cavs(20-35) Reds(7-5) Blue Jackets(15-21-9) Liverpool(15-7-9) Browns and Buckeyes(Offseason)
Marvel, DC, Star Wars Fan",339,female,North Carolina,1,1
x1300180277826740224,2021-04-17T03:48:42Z,keibarinrinrin,トマト,これを5回に1回やればいいのか https://t.co/FSqTgeySRC,ja,北津留最強 🚴‍♀️🚴🚴‍♂️🐎🏇👴,222,female,Louisiana,0,0
x775060664679145473,2021-04-16T01:26:01Z,jeezycalderon,Jeezy Calderon,@dribblecity This movie gave me anxiety from beginning to end lol,en,"Co-Owner of @eightyoneolives
I BLEED PURPLE & GOLD 💜💛
MAMBA FOREVER 🐍😔
THE MARATHON FOREVER 🏁",102,male,Maryland,1,1
x163297400,2021-04-16T01:38:17Z,Get_emALL_Mo,MONEXTDOOR•🦄,"If you’re an anxious person or stressed out... paint your room some form of green and get a lot of green decor items, it’ll help relax/calm you",en,“Spread Love & Drink More Water”,534,female,California,1,1
x2712754116,2021-04-16T03:18:48Z,spaceypeach_,cas🌸,i’ve seen at least 3 jokes today about when dogs eyes widen/give you the side eye and it’s taking EVERYTHING in me not to comment about how that’s likely a whale eye and a sign of stress/anxiety/discomfort in dogs bc i don’t wanna be bullied help,en,"i swear, when i grow up, i won’t just buy you a rose ~ @rowiedontknowie",315,female,Iowa,1,1
x1198285020869382144,2021-04-15T18:40:04Z,ZeZe1917,ZeZe,"@kyle__discourse That's only when we hear anything about the victim having suicidal feelings herself, I'm not trying to say that the victim doesn't matter in situation, because she does  matter and need all the help that she needs.",en,"A dumba** who like's and retweet's better art then mine. :)
Age 22.

Favorites music - Drum and Bass

Icon made by @MisterSaturn123",54,female,Tennessee,1,1
x1231258888864821248,2021-04-17T03:48:33Z,seloa_ggg,세로아(R-157)🏃‍♀️,"아니 어케 우리 깜찍이 공주가 4위일수가???? 좀 충격인걸,.,,",ko,20⬆️/R-링피트 어드벤처/닌텐도 게임|메기도72|T&B 등등 여러가지 팝니다. 요즘 #BuddyMissionBond 버닝중🔥🔥(본드계: @seloa_BMB,19,female,Illinois,0,0
x1062412558353735682,2021-04-17T03:48:16Z,jjvts_,joão,"my aquarius rising is the reason i'm so happy 
i don't think so 💀 https://t.co/J3WKucMODc",en,𝖎𝖘𝖋𝖏 | 𝖍𝖊/𝖍𝖎𝖒 | 𝖊𝖑𝖊/𝖉𝖊𝖑𝖊 | 🏳️‍🌈 | 𝖎 𝖗𝖎𝖘𝖊 𝖘𝖙𝖗𝖔𝖓𝖌𝖊𝖗 𝖜𝖍𝖊𝖓 𝖎 𝖍𝖆𝖛𝖊 𝖋𝖆𝖎𝖙𝖍 𝖎𝖓 𝖒𝖞𝖘𝖊𝖑𝖋,93,male,Virginia,0,0
x796737842621906945,2021-04-17T03:48:18Z,aziza_samira,4/16,@dreaelizabethh thank you so much :)),en,usc sca ‘23 | she/her | graphic designer,435,female,Tennessee,1,0
x167229018,2021-04-17T03:48:17Z,davus_,Síndrome del impostor,Qué pereza...,es,"Tengo hambre, pienso en vos.",174,male,Florida,0,0
x1213235929353084928,2021-04-17T03:48:25Z,_lioneeeess,21.Apr.Molly 🎉,@__R0oooz @7Obidy إلا انا سامحيني😞,ar,"‏‏‏‏‏‏‏‏‏‏‏‎‎‎‎‎‎‎‎‎‎‎#fitness ‎‎‎‎‎‎‎‎‎‎‎#horseriding ‎‎‎‎‎‎‎‎‎‎‎#Architecture 
‏‏‏‏‏‏‏‏‏‏‏‏مهما أخذ بك الظن بإني مبهر لا تقترب.

‎‎‎ ‎‎",689,female,Minnesota,0,0
x747561100305063936,2021-04-17T03:48:41Z,DrewbieMrshmllw,Andrew,@saltydkdan Mom said it's my turn on the Twitterrrr,en,"19 |
He/Him |
Huge nerd of both video games and science fiction |
DMs are open",45,male,New York,1,0
x3056822545,2021-04-16T02:14:08Z,Kelsdior,➖Kelsey,"I feel like I mastered being alone, enjoying my own company and loving on myself .. that way I know the difference between me wanting love fr &amp; me just being lonely!",en,"Blessed & Highly Favored🙏🏾 Ecclesiastes 9:11 “The race is not to the swift, nor the battle to the strong…”",1270,female,Florida,1,1
x1369668305016004613,2021-04-17T03:48:43Z,faiirynette,isi,oooo miren esto!! https://t.co/eIqLMDMxEf,es,adrinette enthusiast!,730,female,Texas,0,0
x1226971452563476487,2021-04-16T00:25:48Z,barbtears,ً,nicki better come back this week cuz i’m starting to get depressed :/,en,the kevinprint.,2205,female,Texas,1,1
x915463357380960256,2021-04-16T03:15:32Z,melissayeet,mel ⭐️,The day i check her following is the day i kill myself i have enough self control to not test my confidence,en,22 / SFSU,72,female,Maryland,1,1
x1315980000936505347,2021-04-16T00:14:38Z,svtneh,ديناصور,lonely eyes,en,She/He,288,female,Arizona,0,1
x2936164062,2021-04-16T01:58:18Z,kirAAAAAHHH,kirara 🍄,"in kawaii teacher news: i have been open to my '19 seniors about going to therapy and showing them that vulnerability is ok and asking for help is also ok, and last year i was able to put one in touch with a therapist that really helped out their existential anxiety. ❤️",en,NA,35,female,Massachusetts,1,1
x949719477276508167,2021-04-17T03:48:27Z,ferelizondo0_,fer,no puede ser skskdjdj,it,"aguante louis, los ñoquis y la soda",139,male,Michigan,0,0
x1367576906594410502,2021-04-15T23:21:48Z,jonesy_faze,Faze_Jonesy,"@Apro0422 ❤ for everything 
Im lonely",en,"15: He/Him: Terraria/ Fortnite, Rocket league: I Like Jaiden Animations, Odds1out, 2/3 of all rocket league youtubers",34,female,Massachusetts,0,1
x1361793377872859136,2021-04-16T00:24:28Z,Vladkom7,Golden Rosomahu,"@GeraldoRivera Right, so make sure you get your grandkids all good &amp; vaxed up the ying yang, and leave the rest of us alone. If all you idiots are protected by ""safe &amp; effective"" mercury/mRNA snake oil elixir, what's the problem, y'all don't wanna enjoy 5G by yourselves, or get lonely on chemo?",en,"I see them walking outdoors with masks on, and I question natural selection. This is definitely not my species, this is demon vomit mixed with Liberal batter.",7,male,Alabama,1,1
x257006352,2021-04-15T21:26:04Z,RosyPosy_kitteh,RosyPosy🌈 #StayathomeSavelivesProtectNHS 💙,"1/There are some really good new completely low cost, or no cost treatments being talked about for #depression, even as adjunctive measures, Eg wake/light triple chronotherapy, cold water therapy, increasing good gut bacteria. All shown to be working to a promising standard...",en,"Integrative/CBT NHS Psychotherapist; Share tweets with British Shorthair feline, a Hoomin/Feline split, so perhaps a little fragmented! Opinions mine or cats!",313,female,Texas,1,1
x1379383078628433921,2021-04-15T23:05:59Z,suzy22182540,suzy ♡ she/her,"i just came back from in person school &amp;’ i hated it ughhhh social anxiety stop 😔 
 anyways enjoy these pics of yule ball draco ♡ https://t.co/g1BIBBrl8I",en,tvdu/hp | george weasley supremacy | slytherin,14,male,California,0,1
x29905232,2021-04-16T01:37:19Z,johnndavis,John N. Davis,"20210414: Muriel Draaisma: Doctors say Ontario children suffering from 'social malnutrition' during COVID-19 pandemic [""Toronto's SickKids ER has seen a 25% increase in visits involving suicidal ideation"" https://t.co/DpDe2w1O0C",en,Just taking notes,349,male,Florida,0,1
x1233060322270830592,2021-04-17T03:48:14Z,HDorfmunder,"Blunt, James Blunt","You two, @RubenGallego and @tedlieu are perfect examples of what's wrong with Congress. You Dems are pathetic and an embarrassment. 

Resign. Both of you. https://t.co/5qQDgHurjU",en,"California native suffering from poor leadership. I may be blunt but you know I'm right. #Resist46

Follow me, I follow back.",2274,male,Delaware,0,0
x941722084832575488,2021-04-17T03:48:30Z,MasterSagini,MasterSagini,Why would someone be watching Shifu TV https://t.co/gqDPgaXvp2,en,"Personal account For @MmasterSagini
CEO Of WERT marketing company  and social media strategist.Trendsetter and Digital strategist.  LOYALTY  IS MY CORE IDENTITY",4531,female,New York,0,0
x959876354413121541,2021-04-16T00:00:38Z,leonxangelina,fuckangelinaleon,Post hangout depression beats my ass ;/,en,i ain’t shit.,114,male,Kentucky,1,1
x1260154611014352896,2021-04-17T03:48:38Z,ryan_mma,JRCBacsal,I think many times but now i have final decision. I like to fight in the Octagon or Ring soon. https://t.co/YLJm9BglSY,en,I'm a YouTuber and Christian.,4,male,Louisiana,1,0
x1277761903528419330,2021-04-15T21:06:44Z,Troll9ine,.,@BBBLonzoBall2 @jeremiahmadden1 yeah pain this is hurting my anxiety i’m out,en,Titans - Grizzlies - Predators - White Sox | 19 years old | Just vibing in illinois 🥲🤧,352,female,Massachusetts,1,1
x1002689945323167745,2021-04-16T00:30:06Z,707Norhan,ꫝ,Why so Lonely https://t.co/1yrgZwRppb,en,ʜᴀɴ ♞ ᴘ.ᴛ ᴅᴜ☽☼ ꜱᴀᴛᴏʀᴜ’ꜱ,1200,female,California,0,1
x1326969939484422158,2021-04-15T20:24:16Z,btsremember,rayo de sol⁷,@JM_Sparkle i'm anxious aaaaaaa,en,NA,4056,female,Colorado,0,1
x1140338738435973120,2021-04-15T22:57:05Z,jkdilfhunter,van lover,god im gonna fucking kill myself please give me this or else https://t.co/M0j9lP0x9y,en,"shiny's back,,, @kibwols ( they he she )",134,male,California,0,1
x1216591990894231552,2021-04-15T23:35:45Z,Hershiesssss,harsh,im suicidal,en,@mapleleafs • @manutd,140,female,Texas,0,1
x147864014,2021-04-17T03:48:22Z,opinionated75,myisland 🇨🇦,@gezzerglide Omg! Did you slip and cut it?,en,"Friend, mom, wife, sister, daughter, stoner. Not necessarily in that order.",3332,female,New York,1,0
x1083872937206116352,2021-04-17T03:48:18Z,trainingGTR,🎮トレーニングがてら🎮,@mipimipim おはようございまっす！！,ja,"関西弁男2人組ジムとまっするが懐ゲー中心に実況してます！！ お気軽にフォローしてくれよな～頼むよ～ 
ご意見、ご感想等あれば気兼ねなくどうぞ！！
アイコンはあいち氏(@Aichi_o_spring)よりいただきました！！

※チャンネル相互登録のお誘いはご遠慮ください。",1223,female,Connecticut,0,0
x836527661887401984,2021-04-15T22:11:26Z,patric_ogle,PATRIC,@Maps_pj Lonely walk of shàme,en,#PUTSOUTHAFRICANSFIRST,440,female,Alabama,0,1
x925821364291989504,2021-04-17T03:48:23Z,tfwPhoebe,Phoebe,@SxneMun GAMING,en,"Influence, mid artist, bi for 2d girls.",4950,female,California,0,0
x1374387467143417865,2021-04-15T20:39:50Z,dadoftheyr85,Super Dad,I’ve never been this anxious in my life,en,"Dad of 4, play with my kids is like playing with your life....locked down by the best @mynameisdriaaa",36,male,Ohio,1,1
x1277199526932119555,2021-04-15T22:16:25Z,rekidnp,tommy ≈ loves aabrlgc🏳️‍⚧️,seriously can someone help me i’m so fucking anxious about going to camhs tomorrow,en,minor (under 15) | and the universe said you are not separate from every other thing @conorisonfranta,1196,female,Illinois,1,1
x1145287707871961088,2021-04-17T03:48:14Z,Eyyy_leaf,YourDutchBoy_Eyyy_🌱🍀🌿,"Kepada orang yang berada di Kuantan yg nak try keropok ikan bilis, boleh order thru adik saya Dila (011-21981290) Text je dekat ws tu ok? Yang area KL Selangor dm je saya @MALAYSIAVIRALL @KuantanTV @twtkuantan_food @JualBeliKuantan https://t.co/8sLbMHknAb",in,"I will post more my baking and interior stuff here. Single n available. Starting a new life, mate.",485,female,Minnesota,0,0
x1268840280771330048,2021-04-17T03:48:19Z,rrrrr_tnosi1945,⚙️りんご@TL追えてないろしあ🚩,@awa_purepara 男自「分かりにくくてごめんね……じゃあ僕そろそろ帰るね」,ja,"⚠雑多垢⚠
秘密結社構成員
🇷🇺春待ち領🇺🇸
無言フォロー失礼します。ヘッダーは公式様から。アイコンは露草様(@tuyukusa68 )から。日常ツイ多めで絵は描けません。
鍵垢(@rrrrr_ringodaoo)
愛すべき嫁▶@kokuban1105",170,female,New York,0,0
x3254833025,2021-04-16T03:40:46Z,IanTheKWolf,Kitty Wolf,"life is really lonely, noone even sees my tweets",en,"18+ btw  20 y/o
Dumb Gay furry. Being social is hard af",31,male,New York,1,1
x262826035,2021-04-16T03:55:42Z,MiSFiTxShvq,F A T H E R,Depression really sucks the everything out of you.,en,B I O,1026,female,Texas,1,1
x2884910992,2021-04-15T20:49:07Z,AdmiraVet,FRඞ in a CඞR,"@possum_springs me too honestly i do have anxiety over spending money on fortnite but if i see another crunch article I'm going to sell the account and spend the money on charity
and well managers only speak money. if they got less money after getting called out they'd change sth",en,"Please read Umineko.
engaged to @VanillaCreamArt (artist behind my pfp & cover)
I read The House in Fata Morgana live on weekends!
https://t.co/3XsfCZizxG",1846,female,Georgia,1,1
x1052905004720361473,2021-04-15T21:29:28Z,coonur_kan316,Coonur Kan,End my life. https://t.co/lgQhQ9gZYh,en,"🏴󠁧󠁢󠁳󠁣󠁴󠁿
our beloved planet is dying, sporticus 🏴󠁧󠁢󠁳󠁣󠁴󠁿",193,male,Minnesota,0,1
x1185065979312779264,2021-04-15T23:31:00Z,tamagotzu,🤍egg🤍,I’m literally nauseous from anxiety over this ass1gnment I need to stop for the night and eat something,en,wannabe zero ultra 🤍 I love tzuyu ᘏ⑅ᘏ,652,female,Arizona,1,1
x1327999356964720640,2021-04-17T03:48:34Z,Swordfi52449289,和父 ~ Kazu-Papa ~,"@yuba_tohu はぁーい👌
土曜日の公休も、今日まで❗️
雨も降ってないので、ちょいと楽しんでます✨ https://t.co/FsDsKzTpVo",ja,"趣味は幅広く、いろんな事やってます❗️  家庭菜園から、戦闘機や民航機の撮影～✈️  福岡県出身の剣道五段の有段者✨
宜しくお願いします✌️",319,female,Pennsylvania,0,0
x1188059185511985152,2021-04-17T03:48:13Z,polarbear137ani,あんかけ炒飯@DMP,"近所ほとんど売り切れてて、探し回った挙句売ってた場所で買い占めました。

3箱＋13パック

もはや開けるか悩むな https://t.co/2VhfV34DTU",ja,基本的にデュエマのことばかり呟くと思います。ハチ公は嫁。 その他、CODm /FGO /MH 等をします。趣味一緒な方ぜひフォロバお願いします〜 フォロバ100%,1607,female,Massachusetts,0,0
x1236700056062791680,2021-04-17T03:48:28Z,ZERO_GTR_0,ぜろち🌼フォロバ100,"@1115_r_ でぃすいずああい
これは愛です",ja,多分日常垢か雑多垢。愛してる@Himawari_615相方@AmiriLover妹@kureha_827_サブ垢@ZERO_GTR_0_sub,25197,female,South Carolina,0,0
x1260594791944867841,2021-04-17T03:48:18Z,EKSIRI_081415,💙시리,2. https://t.co/jiqNnCAcoA,und,"여/그림러/슈가/SIS/그림체 발굴하는중/한국인인데요 중국에있어요/쿠킹덤,더 뮤지션/안녕하세오 트찐입닏다 그림 아주 가끔 올려요😉/부계:@SIRI_081115",35,female,Michigan,0,0
x2842036491,2021-04-17T03:48:39Z,somennaruto,そうめん,なにこれw,ja,成人済/だいたい体の不調とおそ松さん/四男推し🐱,45,female,Washington,0,0
x758867946810650629,2021-04-15T22:04:15Z,komark28,LarryBinthe6,This is such a stupid statement because happiness is so subjective. Read a book you depressed fuck lol https://t.co/TlWFoiniu6,en,🏀 🤼‍♂️ 🇨🇦 🇧🇩 followed by John Cena,63,female,Hawaii,0,1
x1028650250913734656,2021-04-16T02:42:36Z,Itspreciousbaut,roar,@itsmaica26 Suicide yorn? HAHAHAHAHAHAH,it,i miss the sound of the waves | lee jung-suk,552,male,Utah,0,1
x1265469675099602946,2021-04-15T20:27:45Z,aylux__xd,clown,"@Louis_Tomlinson more or less, last night I had an anxiety attack and cut myself. But now I'm better, and you Louis?",en,NA,24,male,New York,1,1
x1368669255676301312,2021-04-16T02:21:50Z,ADreamStory1,A Dream Story ✨,"You've been here this whole time, every time I'm lonely &amp; scared and needed to be not heard or physical pain&amp;calmed me with you every moment of 1000 of time slowly energy ignited with in your words passes through me as your soul help protect me when I could not even love 4melove",en,"dreamed a future event more real truth; precognition makes logical sense; after all, predicting the future is an essential function of the human nervous system.",7,female,Florida,1,1
x1326944441324756992,2021-04-15T21:45:22Z,MacSleepy2,Mαc $lεερψ🥶,They’ll Tell You It Was Economic Anxiety Tho.. 🥴,en, Art 4 Ya Ears. Ⓜ️E〽️🅿️🤟🏾👁🐍 https://t.co/TQ80VchHw2 “Fly Niggas” by @PLAYAFLYM3 ft. @MacSleepy2 prod. @DrummaBoyFRESH,572,female,Colorado,1,1
x1372386262624174084,2021-04-16T03:05:15Z,katsbestie,erynn,"no because no matter how depressed or hopeless i get i will never be as close to the n**se as i am when i bite my cheek while eating, especially if its around other people. that shit crushes my spirit to no end.",en,she/they,45,male,New Mexico,1,1
x1319970883629314048,2021-04-17T03:48:13Z,knt_pantu,きのた✒︎,春仕様可愛い😂😂,ja,"無言フォロー.ツイ消し常習犯 ￤アクロトモフィリア🤤 ￤ 不注意優勢型adhd.双極性障害 Ⅱ￤サブ?→ @bero_suko                                 
https://t.co/1MOlikZKyY",380,female,Arizona,0,0
x235778624,2021-04-17T03:48:42Z,sasvaratra,Ahmad Syarifudin,"Beberapa kelompok tani masih menerapkan sistem ini sehingga dapat menaikkan posisi di tengah distributor sehingga mereka tidak mudah memainkan harga. Selebihnya, yang tidak berkolektif, maka terjebak pada sistem gali lobang tutup lobang akibat usaha yang terus merugi.",in,Just another twitter account. Ignore it.,600,male,Illinois,0,0
x1245836261702713346,2021-04-15T21:36:45Z,nomz_a,nomthandazo,"Depression v Bazalwane za, ei yazin ai 😶 https://t.co/V6AbqWjnVd",und,"#GirlsWithHearingAids// LLB Student// Everything that I am I owe to The Lord, Product of Isaiah 41:10/// Prev Acc: @s_nomz",147,male,Oklahoma,0,1
x1203064853499383808,2021-04-16T03:01:17Z,gabsscabreraa,gabs,night time anxiety 😃,en,jw || look at the sky :),779,male,Michigan,1,1
